author,published_at,updated_at,like_count,text
@BawaliLive-vm6yq,2024-01-14T05:13:50Z,2024-01-14T05:13:50Z,0,Jai shree Ram
@SonuKumar-fm9bs,2024-01-14T05:13:31Z,2024-01-14T05:13:31Z,1,Jay shree ram ❤❤
@user-vr5bz4yf1v,2024-01-14T05:12:59Z,2024-01-14T05:12:59Z,0,☃️🎉
@abhirajtiktok6197,2024-01-14T05:12:26Z,2024-01-14T05:12:26Z,0,❤❤❤❤❤🎉🎉😀😀😁😁😇😇😍😍
@user-wz1yz9be1q,2024-01-14T05:12:12Z,2024-01-14T05:12:12Z,0,Jai shree ram ji ❤️🙏🥺
@user-gf4vq5ym5i,2024-01-14T05:10:51Z,2024-01-14T05:10:51Z,1,Jai Shree Ram 🕉🕉🚩🚩
@gauravsoni9376,2024-01-14T05:09:51Z,2024-01-14T05:09:51Z,0,Jai shree Ram 🙏🙏
@anshprasad5911,2024-01-14T05:09:41Z,2024-01-14T05:09:41Z,0,Jai shree Ram
@abhirajtiktok6197,2024-01-14T05:08:32Z,2024-01-14T05:08:32Z,0,😮😮😮😮🎉🎉❤❤❤
@Cityscape12,2024-01-14T05:07:54Z,2024-01-14T05:07:54Z,0,Excellent voice ❤
@user-lc5jk4ox8i,2024-01-14T05:07:04Z,2024-01-14T05:07:04Z,0,Jay shree Ram ❤😊
@Relaxingmusic-kx4ji,2024-01-14T05:06:30Z,2024-01-14T05:06:30Z,0,🎉❤🎉❤🎉❤🎉 nice 👍
@SurajKumar-ku1vi,2024-01-14T05:05:57Z,2024-01-14T05:05:57Z,0,Very  Nice ❤️❤️😍😍Jai sri ram
@jaytaibose5073,2024-01-14T05:05:22Z,2024-01-14T05:05:22Z,0,Heart touching voice❤...
@puspadall3190,2024-01-14T05:04:33Z,2024-01-14T05:04:33Z,0,❤❤❤❤❤
@user-md5xw6gt9w,2024-01-14T05:04:09Z,2024-01-14T05:04:09Z,0,Jai shree ram 🙏
@diwakarbhatnagar6244,2024-01-14T05:03:51Z,2024-01-14T05:03:51Z,1,Jay Shri Ram❤❤❤❤❤🎉🎉🎉🎉🎉🎉
@statusboyastom,2024-01-14T05:03:44Z,2024-01-14T05:03:44Z,0,Jay shree ram ji 🚩🙏
@DipenKumar-ro1dc,2024-01-14T05:01:07Z,2024-01-14T05:01:07Z,0,Jai shree ram bhakt koun koun hai ❤❤❤❤❤❤❤❤❤❤❤
@rohitkumaryadav5224,2024-01-14T05:00:54Z,2024-01-14T05:00:54Z,1,Jay Shri Ram ram ko kaun kaun manta hai ki Bhagwan hai aise bhi duniya mein bahut sare hai Jo Ram Ko nahin manta hai Ram bhagwan ko ham mante Hain❤❤❤❤❤🙏🙏🙏🙏🙏👍
@itz_gulshan_yadav_king,2024-01-14T05:00:21Z,2024-01-14T05:00:21Z,1,❤️यह गाना मेरे दिल को छू लिया ❤️ बहुत अच्छा लग रहा है ❤❤ दिल करता है की सिर्फ यही गाना सुनता रहूं ❤[ 🙏🙏JAY SHREE RAM 🙏🙏]❤❤
@mamtakaushik7178,2024-01-14T05:00:17Z,2024-01-14T05:00:17Z,0,Jai shri ram
@APS_BHOJPURI,2024-01-14T05:00:05Z,2024-01-14T05:00:05Z,0,Goosebumps ⚡❤
@namanagrawal7048,2024-01-14T04:59:14Z,2024-01-14T04:59:14Z,1,Jai shree siyaram ❤
